Name,Url,Authority,Started On,Finished On,License Number
SQL (Intermediate),https://www.hackerrank.com/certificates/iframe/3964fdb141fe,Hacker Rank,Aug-26,,
Deloitte Data Analytics Job Simulation,Forage Certificate,Forage,Apr-25,,
